Start_Time,End_Time,PROGRAM/AD/SONGS,TIMELINE
05:00:00,05:01:11,NO AUDIO PLAYED,05:00:00-05:01:11
05:01:11,05:02:05,JINGLE: RADIO CITY 91.1 FM SONG,05:01:11-05:02:05
05:02:05,05:02:11,JINGLE: SRI VENKATESHWARA SUPRABHATHAM SONG INTRO,05:02:05-05:02:11
05:02:11,05:22:43,"SONG: SRI VENKATESHWARA SUPRABATHAM, MS SUBBULAKSHMI, SRI VENKATESA SUPRABATHAM, SAREGAMA, 1961, SANSKRIT",05:02:11-05:22:43
05:22:43,05:23:54,"PROGRAM: AALAYA DHARISANAM, RJ SHAKTHI",05:22:43-05:23:54
05:23:54,05:23:58,JINGLE: RADIO CITY,05:23:54-05:23:58
05:23:58,05:24:22,"AD: DEEPAM, INCENSE STICKS, SPIRITUAL ESSENTIALS, HOME FURNISHING",05:23:58-05:24:22
05:24:22,05:24:49,"AD: DEEPAM, INCENSE STICKS, SPIRITUAL ESSENTIALS, HOME FURNISHING",05:24:22-05:24:49
05:24:49,05:24:59,JINGLE: SRI SKANDHA GURU KAVASAM SONG INTRO,05:24:49-05:24:59
05:24:59,05:47:08,"SONG: SRI SKANDHA GURU KAVACHAM, SOOLAMANGALAM SISTERS, SRI SKANDHA GURU KAVASAM, SAREGAMA, 1963, TAMIL",05:24:59-05:47:08
05:47:08,05:48:13,"PROGRAM: AALAYA DHARISANAM, RJ SHAKTHI",05:47:08-05:48:13
05:48:13,05:48:21,JINGLE: RADIO CITY,05:48:13-05:48:21
05:48:21,05:48:46,"AD: DEEPAM, INCENSE STICKS, SPIRITUAL ESSENTIALS, HOME FURNISHING",05:48:21-05:48:46
05:48:46,05:53:12,"SONG: KARUMARI AMMAN, GHIBRAN & GOLD DEVARAJ & SURMUKHI, GHIBRAN'S SPIRITUAL SERIES, THINK MUSIC, 2020, TAMIL",05:48:46-05:53:12
05:53:12,05:54:33,"PROGRAM: AALAYA DHARISANAM, RJ SHAKTHI",05:53:12-05:54:33
